symbol,ex_date,amount_per_unit,distribution_type,notes
LIQUIDBEES,2024-02-29,3.672751,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-03-31,3.873379,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-04-30,3.844841,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-05-31,3.517854,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-06-30,3.522461,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-07-31,3.453316,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-08-30,3.255658,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-09-30,3.622192,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-10-31,3.857046,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-11-29,3.466284,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-12-31,4.015233,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2025-01-31,4.942364,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2025-02-28,3.653112,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2025-03-31,4.089838,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2025-04-30,3.538602,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2025-05-30,3.586182,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2025-06-30,3.177129,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2025-07-31,3.651373,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2025-08-31,3.063889,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2025-09-30,3.077137,dividend,Yahoo Finance chart dividend event
NXST,2023-11-17,2.98,dividend,Yahoo Finance chart dividend event
NXST,2024-02-14,2.0,dividend,Yahoo Finance chart dividend event
NXST,2024-05-17,2.091,dividend,Yahoo Finance chart dividend event
NXST,2024-08-07,2.147,dividend,Yahoo Finance chart dividend event
NXST,2024-11-21,2.007,dividend,Yahoo Finance chart dividend event
NXST,2025-02-07,2.196,dividend,Yahoo Finance chart dividend event
NXST,2025-05-16,2.0,dividend,Yahoo Finance chart dividend event
NXST,2025-08-04,2.23,dividend,Yahoo Finance chart dividend event
NXST,2025-11-10,2.198,dividend,Yahoo Finance chart dividend event
NXST,2026-02-05,2.367,dividend,Yahoo Finance chart dividend event
NXST,2026-05-15,2.286,dividend,Yahoo Finance chart dividend event
NXST,2026-08-06,2.442,dividend,Yahoo Finance chart dividend event
